wound_id,img_path,day,wound_area,healing_pct
wound1,woundsdata\wound1\d1.png,0,23557,0.0
wound1,woundsdata\wound1\d2.png,1,60693,-157.64316339092414
wound1,woundsdata\wound1\d3.png,2,18527,21.352464235683666
wound10,woundsdata\wound10\d1.png,0,7063,0.0
wound10,woundsdata\wound10\d2.png,1,19428,-175.06725187597337
wound10,woundsdata\wound10\d3.png,2,15274,-116.25371655104063
wound11,woundsdata\wound11\d1.png,0,53369,0.0
wound11,woundsdata\wound11\d2.png,1,40201,24.67349959714441
wound11,woundsdata\wound11\d3.png,2,5153,90.34458206074687
wound12,woundsdata\wound12\d1.png,0,14774,0.0
wound12,woundsdata\wound12\d2.png,1,56347,-281.39298768106136
wound12,woundsdata\wound12\d3.png,2,33154,-124.40774333288206
wound13,woundsdata\wound13\d1.png,0,31194,0.0
wound13,woundsdata\wound13\d2.png,1,32458,-4.052061293838549
wound13,woundsdata\wound13\d3.png,2,37087,-18.891453484644494
wound14,woundsdata\wound14\d1.png,0,37034,0.0
wound14,woundsdata\wound14\d2.png,1,49802,-34.4764270670195
wound14,woundsdata\wound14\d3.png,2,59462,-60.56056596640924
wound15,woundsdata\wound15\d1.png,0,2180,0.0
wound15,woundsdata\wound15\d2.png,1,718,67.06422018348623
wound15,woundsdata\wound15\d3.png,2,597,72.61467889908258
wound16,woundsdata\wound16\d1.png,0,2746,0.0
wound16,woundsdata\wound16\d2.png,1,2539,7.538237436270945
wound16,woundsdata\wound16\d3.png,2,11979,-336.23452294246175
wound17,woundsdata\wound17\d1.png,0,21610,0.0
wound17,woundsdata\wound17\d2.png,1,10300,52.33688107357705
wound17,woundsdata\wound17\d3.png,2,32789,-51.73068024062935
wound18,woundsdata\wound18\d1.png,0,38781,0.0
wound18,woundsdata\wound18\d2.png,1,3355,91.34885639875196
wound18,woundsdata\wound18\d3.png,2,2397,93.81913823779686
wound19,woundsdata\wound19\d1.png,0,11556,0.0
wound19,woundsdata\wound19\d2.png,1,2997,74.06542056074767
wound19,woundsdata\wound19\d3.png,2,12770,-10.505365178262371
wound2,woundsdata\wound2\d1.png,0,26553,0.0
wound2,woundsdata\wound2\d2.png,1,29825,-12.32252476179716
wound2,woundsdata\wound2\d3.png,2,1338,94.96102135351939
wound20,woundsdata\wound20\d1.png,0,30511,0.0
wound20,woundsdata\wound20\d2.png,1,54296,-77.95549146209564
wound20,woundsdata\wound20\d3.png,2,21901,28.219330733178193
wound21,woundsdata\wound21\d1.png,0,2012,0.0
wound21,woundsdata\wound21\d2.png,1,36689,-1723.5089463220675
wound21,woundsdata\wound21\d3.png,2,25151,-1150.0497017892644
wound22,woundsdata\wound22\d1.png,0,57028,0.0
wound22,woundsdata\wound22\d2.png,1,33311,41.58834256856281
wound22,woundsdata\wound22\d3.png,2,40030,29.80641088588062
wound23,woundsdata\wound23\d1.png,0,8990,0.0
wound23,woundsdata\wound23\d2.png,1,18825,-109.39933259176864
wound23,woundsdata\wound23\d3.png,2,3786,57.8865406006674
wound3,woundsdata\wound3\d1.png,0,44563,0.0
wound3,woundsdata\wound3\d2.png,1,3133,92.96950384848417
wound3,woundsdata\wound3\d3.png,2,29446,33.9227610349393
wound4,woundsdata\wound4\d1.png,0,37637,0.0
wound4,woundsdata\wound4\d2.png,1,58118,-54.4171958445147
wound4,woundsdata\wound4\d3.png,2,30403,19.220447963440236
wound5,woundsdata\wound5\d1.png,0,21729,0.0
wound5,woundsdata\wound5\d2.png,1,42481,-95.5037047264025
wound5,woundsdata\wound5\d3.png,2,18641,14.211422522895667
wound6,woundsdata\wound6\d1.png,0,43261,0.0
wound6,woundsdata\wound6\d2.png,1,40313,6.8144518157231655
wound6,woundsdata\wound6\d3.png,2,24217,44.02117380550611
wound7,woundsdata\wound7\d1.png,0,42218,0.0
wound7,woundsdata\wound7\d2.png,1,55471,-31.391823392865593
wound7,woundsdata\wound7\d3.png,2,10375,75.42517409635701
wound8,woundsdata\wound8\d1.png,0,46876,0.0
wound8,woundsdata\wound8\d2.png,1,24564,47.597917911084565
wound8,woundsdata\wound8\d3.png,2,3501,92.53135933100094
wound9,woundsdata\wound9\d1.png,0,53860,0.0
wound9,woundsdata\wound9\d2.png,1,29827,44.6212402525065
wound9,woundsdata\wound9\d3.png,2,33722,37.389528406981064
